id,premise,choice1,choice2,question,label,mirrored,premise_opus,choice1_opus,choice2_opus
10,The customer filed a complaint with the store manager.,The sales associate acted rude to the customer.,The sales associate undercharged the customer.,cause,1,0,Nagsampa ng reklamo ang parokyano sa manedyer ng tindahan.,Ang ahenteng kasama niya ay kumilos nang walang galang sa parokyano.,Ang mga benta na nag - uugnay sa mamimili ay nagpataw sa parokyano.
1301,The woman never used her credit card.,She received her monthly bill.,She preferred paying by cash.,cause,2,1,Hindi kailanman ginamit ng babae ang kaniyang credit card.,Tinanggap niya ang kaniyang buwanang kuwenta.,Mas gusto niyang magbayad sa pamamagitan ng pera.
1108,I replaced the floor with brand new tile.,I spilled juice on the floor.,The floor was permanently stained.,cause,2,1,Pinalitan ko ang sahig ng bagong baldosa.,Ako'y nagbubo ng katas sa sahig.,Ang sahig ay permanenteng nabahiran.
1158,The woman covered her nose.,The fire alarm blared.,The woman smelled smoke.,cause,2,1,Tinakpan ng babae ang kaniyang ilong.,Sumindi ang alarma sa sunog.,Naamoy ng babae ang usok.
371,The city re-elected the mayor.,The mayor fulfilled his promises.,The city cut its budget.,cause,1,0,Muling-elektado ng lungsod ang alkalde.,Tinupad ng alkalde ang kaniyang mga pangako.,Binawas ng lungsod ang badyet nito.
108,I dabbed the floor with a paper towel.,The floor was permanently stained.,I spilled juice on the floor.,cause,2,0,Hinapak ko ang sahig sa pamamagitan ng tuwalyang papel.,Ang sahig ay permanenteng nabahiran.,Ako'y nagbubo ng katas sa sahig.
1026,The skydiver started to fall down.,She opened her parachute.,She jumped out of the plane.,cause,2,1,Ang skydiver ay nagsimulang bumagsak.,Binuksan niya ang kaniyang parasyut.,Tumalon siya sa eroplano.
65,The family took their dog to the veterinarian.,The dog injured his paw.,The dog chewed on a bone.,cause,1,0,Dinala ng pamilya ang kanilang aso sa beterenaryo.,Sinaktan ng aso ang kaniyang paa.,Ngumuya ang aso sa isang buto.
369,The glasses on the table spilled.,The child yanked the tablecloth.,The child drew on the table.,cause,1,0,Ang mga baso sa mesa ay natapon.,Hinango ng bata ang mantel.,Hinalaw ng bata ang mesa.
1106,The pharmaceutical company promoted the drug.,Users got refills on their prescriptions.,Users reported dangerous side effects.,cause,1,1,Itinaguyod ng kompanya ng gamot ang droga.,Ang mga gumagamit ay muling nagreseta ng kanilang mga reseta.,Iniulat ng mga gumagamit nito ang mapanganib na masasamang epekto.
407,I decided to stay home for the night.,My friends urged me to go out.,The forecast called for storms.,cause,2,0,Nagpasiya akong manatili sa bahay nang gabing iyon.,Hinimok ako ng aking mga kaibigan na lumabas.,Ang paghula ay nangangailangan ng mga bagyo.
1376,The girl got yet another dog.,She was bitten by a dog.,She rescued an abandoned dog.,cause,2,1,Ang batang babae ay kumuha pa ng isa pang aso.,Nakagat siya ng isang aso.,Iniligtas niya ang isang pinabayaang aso.
200,The woman felt an electric shock.,She pounded on the door.,She grabbed the doorknob.,cause,2,0,Nakaramdam ang babae ng electric shock.,Hinampas niya ang pinto.,Sinunggaban niya ang pintoknob.
1443,The teacher praised the pair of students.,The students both received excellent grades.,Their responses on the assignment were identical.,cause,1,1,Pinuri ng guro ang mag-asawang mag-aaral.,Ang mga estudyante ay kapuwa tumanggap ng ekselenteng mga marka.,Ang kanilang mga tugon sa atas ay magkatulad.
143,The security guard tackled the man.,The man reached into his pocket.,The man displayed a weapon.,cause,2,0,Ang taong iyon ay hinarap ng guwardiya.,Inabot ng lalaki ang kaniyang bulsa.,Itinanghal ng lalaki ang isang sandata.
418,The kidnappers released the hostage.,They escaped from jail.,They accepted ransom money.,cause,2,0,Pinalaya ng mga kidnaper ang bihag na panagot.,Sila'y nakatakas sa bilangguan.,Sila'y tumanggap ng salaping pantubos.
241,I got distracted from my conversation with the woman.,Everyone in the room was talking.,The woman was telling a funny story.,cause,1,0,Naabala ako sa aking pakikipag - usap sa babae.,Lahat ng nasa silid ay nag - uusap.,Naglalahad ang babae ng isang nakakatawang kuwento.
443,The pair of students came under scrutiny by the teacher.,The students both received excellent grades.,Their responses on the assignment were identical.,cause,2,0,Ang pares ng mga estudyante ay sinuring mabuti ng guro.,Ang mga estudyante ay kapuwa tumanggap ng ekselenteng mga marka.,Ang kanilang mga tugon sa atas ay magkatulad.
412,The community learned of the man's death.,His obituary appeared in the newspaper.,His family buried him in the cemetery.,cause,1,0,Nalaman ng pamayanan ang pagkamatay ng taong iyon.,Ang kanyang obituwaryo ay lumitaw sa pahayagan.,Inilibing siya ng kanyang pamilya sa sementeryo.
376,The girl had a phobia of dogs.,She was bitten by a dog.,She rescued an abandoned dog.,cause,1,0,Ang batang babae ay may phobia sa mga aso.,Nakagat siya ng isang aso.,Iniligtas niya ang isang pinabayaang aso.
240,The photo albums collected dust in the attic.,The family reminisced over the photos.,They remained untouched for years.,cause,2,0,Ang mga album ng larawan ay nagtipon ng alikabok sa atik.,Nagunita ng pamilya ang mga larawan.,Ang mga ito'y hindi pa rin nangyari sa loob ng maraming taon.
340,The fussy baby calmed down.,The parents shook a rattle in front of the baby.,The parents picked out a name for the baby.,cause,1,0,Ang maselan na sanggol ay huminahon.,Niyanig ng mga magulang ang harapan ng sanggol.,Pinili ng mga magulang ang pangalan ng sanggol.
1257,The boy lost sniffed the bar of soap.,The bar emitted a fragrance.,The bar was slippery.,cause,1,1,Ang bata ay nawalan ng amoy sa bareta ng sabon.,Ang bar ay naglalabas ng samyo.,Ang barangay ay madulas.
411,The bowling ball knocked over the bowling pins.,The man rolled the bowling ball down the alley.,The man dropped the bowling ball on his foot.,cause,1,0,Ang bola ng bowling ay bumagsak sa bowling pins.,Pinagulong ng lalaki ang bola sa bowling sa iskinita.,Ibinaba ng lalaki ang bola sa kaniyang paa.
202,I jumped instinctively in fright.,I heard people chuckling in the adjacent room.,I sensed someone approaching me from behind.,cause,2,0,Ako'y likas na lumukso sa takot.,Narinig ko ang mga tao na naglalaro sa katabing silid.,Naramdaman ko ang isang lumalapit sa akin mula sa likuran.
1065,The dog broke his teeth.,The dog injured his paw.,The dog chewed on a bone.,cause,2,1,Nabali ang ngipin ng aso.,Sinaktan ng aso ang kaniyang paa.,Ngumuya ang aso sa isang buto.
360,The teenager grew taller than his father.,He went through a growth spurt.,He joined the basketball team.,cause,1,0,Lumaking mas mataas ang tin - edyer kaysa sa kaniyang ama.,Bigla siyang lumaki.,Sumali siya sa koponan ng basketbol.
1315,The doctor put an ice pack on the leg.,It was badly bruised.,It was severely infected.,cause,1,1,Inilagay ng doktor ang isang balutan ng yelo sa paa.,Ito'y malubhang nasugatan.,Ito'y malubhang nahawahan.
1259,The celebrity took off her sunglasses.,She wanted to avoid recognition.,She wanted to thank her fans.,cause,2,1,Inalis ng sikat na tao ang kaniyang sunglass.,Ayaw niyang makilala.,Nais niyang pasalamatan ang kanyang mga tagahanga.
1182,A crater did not form on the moon.,A comet collided with the moon.,A comet passed by the moon.,cause,2,1,Hindi nagkaroon ng bunganga ng bulkan sa buwan.,Isang kometa ang bumangga sa buwan.,Isang kometa ang dumaan sa buwan.
1340,The parents received a birth certificate.,The parents picked out a name for the baby.,The parents shook a rattle in front of the baby.,cause,1,1,Nakatanggap ang mga magulang ng sertipiko ng kapanganakan.,Pinili ng mga magulang ang pangalan ng sanggol.,Niyanig ng mga magulang ang harapan ng sanggol.
193,The student flaunted his test grade to his classmates.,He feigned interest in the class.,He received a perfect score.,cause,2,0,Ipinagmalaki ng estudyante ang kaniyang marka sa pagsusulit sa kaniyang mga kaklase.,Nagkunwari siyang interesado sa klase.,Nakatanggap siya ng perpektong iskor.
1460,The man won the competition.,The competition was sabotaged.,He intimidated his competitors.,cause,2,1,Napanalunan ng lalaki ang kompetisyon.,Ang kompetisyon ay nasabotahe.,Pinangambahan niya ang kaniyang mga kakompetensiya.
480,The man's pocket jingled as he walked.,He sewed the hole in his pocket.,His pocket was filled with coins.,cause,2,0,Ang bulsa ng lalaki ay kumakalansi habang siya'y naglalakad.,Itinahi niya ang butas sa kaniyang bulsa.,Ang kaniyang bulsa ay punô ng mga barya.
1454,The boy had someone to play with.,His brother took his toys from him.,He shared his toys with his brother.,cause,2,1,May mapaglaruan ang bata.,Kinuha ng kanyang kapatid ang kanyang mga laruan sa kanya.,Ibinahagi niya ang kaniyang mga laruan sa kaniyang kapatid na lalaki.
298,The screen on the laptop went black.,The laptop's warranty expired.,The laptop's battery died.,cause,2,0,Maitim ang iskrin ng laptop.,Ang warranty ng laptop ay natapos na.,Namatay ang batirya ng laptop.
1414,The woman acquired an additional qualification for her job.,She believed her superiors were acting unethically.,She aspired to hold an executive position in the firm.,cause,2,1,Ang babae ay nakakuha ng karagdagang kuwalipikasyon para sa kaniyang trabaho.,Naniniwala siya na ang mga nakatataas sa kaniya ay gumagawi nang walang etika.,Siya'y naghangad na humawak ng isang posisyong ehekutibo sa kompanya.
257,The boy lost hold of the bar of soap.,The bar was slippery.,The bar emitted a fragrance.,cause,1,0,Nawalan ng hawak ang batang lalaki sa bareta ng sabon.,Ang barangay ay madulas.,Ang bar ay naglalabas ng samyo.
1330,The security guard could not identify the thief.,The surveillance camera was out of focus.,He noticed some suspicious activity.,cause,1,1,Hindi makilala ng guwardiya ang magnanakaw.,Ang kamerang pangmanman ay hindi nakatutok.,Napansin niya ang ilang kahina - hinalang gawain.
3,The women met for coffee.,The cafe reopened in a new location.,They wanted to catch up with each other.,cause,2,0,Nagkita-kita ang mga babae para magkape.,Muling binuksan ang cafe sa isang bagong lokasyon.,Nais nilang mag-alsa sa isa't isa.
187,The boy filled the bucket with sand.,He was building a sand castle.,He was collecting seashells in the sand.,cause,1,0,Ang timba ay pinunô ng bata ng buhangin.,Siya ay nagtatayo ng isang kastilyong buhangin.,Nagtitipon siya ng mga kabibi sa buhangin.
1273,The man never noticed the woman.,He had his back turned to her.,He caught a whiff of her perfume.,cause,1,1,Hindi kailanman napansin ng lalaki ang babae.,Siya'y tumalikod sa kaniya.,Nakakuha siya ng kaunting pabango.
330,The security guard replayed the surveillance footage.,The surveillance camera was out of focus.,He noticed some suspicious activity.,cause,2,0,Muling ginampanan ng security guard ang surveillance footage.,Ang kamerang pangmanman ay hindi nakatutok.,Napansin niya ang ilang kahina - hinalang gawain.
1194,The boy felt exhausted.,He bickered with his sister.,He went away to camp.,cause,1,1,Pagod na pagod ang bata.,Nagalit siya sa kaniyang kapatid na babae.,Siya'y nagtungo sa kampo.
1451,I no longer broke out into a rash.,I eradicated the poison ivy from my yard.,I brushed against poison ivy in my yard.,cause,1,1,Hindi na ako naging padalus - dalos.,Inalis ko ang lason sa aking bakuran.,Ayaw ko ng poison ivy sa aking bakuran.
1427,I could not enjoy the movie's beautiful soundtrack.,A tall person was sitting in front of me.,The couple behind me was whispering.,cause,2,1,Hindi ako nasiyahan sa magandang soundtrack ng pelikula.,Isang matangkad na tao ang nakaupo sa harap ko.,Ang mag - asawa sa likuran ko ay nagbubulung - bulungan.
201,The man had lipstick on his cheek.,The woman made him blush.,The woman kissed him.,cause,2,0,Ang lalaki ay may lipstick sa kaniyang pisngi.,Pinamula siya ng babae.,Hinalikan siya ng babae.
118,The student received detention.,He talked back to the teacher.,The teacher graded his homework.,cause,1,0,Nabilanggo ang estudyante.,Siya'y nakipag - usap sa guro.,Minaliit ng guro ang kaniyang araling - bahay.
1036,The man got up earlier.,He wanted to shut off the alarm clock.,He wanted to iron his pants before work.,cause,2,1,Ang lalaki ay bumangon nang mas maaga.,Gusto niyang isara ang alarm clock.,Gusto niyang ipaplantsa ang kanyang pantalon bago magtrabaho.
1128,The parents left their children with a teacher.,They made plans to celebrate their anniversary.,Their youngest child started attending preschool.,cause,2,1,Iniwan ng mga magulang ang kanilang mga anak sa isang guro.,Gumawa sila ng mga plano upang ipagdiwang ang kanilang anibersaryo.,Ang kanilang bunsong anak ay nagsimulang mag - aral sa preschool.
1415,The player could not see the ball.,Her opponent tried to intercept it.,Her teammate threw it to her.,cause,1,1,Hindi makita ng manlalaro ang bola.,Sinikap ng kaniyang kalaban na harangin ito.,Ito ay itinapon sa kanya ng kanyang teammate.
176,The father shut off the children's television.,It was bedtime for the children.,The children were watching cartoons.,cause,1,0,Ipinasara ng ama ang telebisyon ng mga bata.,Gabi na para sa mga bata.,Ang mga bata ay nanonood ng mga cartoon.
1288,I enjoyed my chewing gum.,The gum lost its flavor.,I blew a bubble with the gum.,cause,2,1,Gustung - gusto ko ang aking chewing gum.,Naiwala ng gilagid ang lasa nito.,Binuga ko ang isang bula sa pamamagitan ng gilagid.
301,The woman wrote a check to the gas company.,She received her monthly bill.,She preferred paying by cash.,cause,1,0,Ang babae ay sumulat ng isang tseke sa kompaniya ng gas.,Tinanggap niya ang kaniyang buwanang kuwenta.,Mas gusto niyang magbayad sa pamamagitan ng pera.
1207,The tenants lease for the apartment was extended.,They got along with their landlord.,They neglected to pay their rent.,cause,1,1,Pinalawig pa ang pagpapaupa sa apartment ng mga nangungupahan.,Nakasundo nila ang kanilang kasera.,Hindi nila nabayaran ang kanilang upa.
1350,New countries were discovered.,Oil spilled into the ocean.,Boats sailed through the ocean.,cause,2,1,Bagong mga bansa ang natuklasan.,Ang langis ay natapon sa karagatan.,Ang mga bangka ay naglalayag sa karagatan.
1388,The boy broke his arm.,The boy looked up to his older brother.,The boy wrestled with his older brother.,cause,2,1,Nabali ang braso ng bata.,Tiningnan ng bata ang kaniyang kuya.,Nakipagbuno ang bata sa kaniyang kuya.
460,The man lost the competition.,The competition was sabotaged.,He intimidated his competitors.,cause,1,0,Natalo ang lalaki sa kompetisyon.,Ang kompetisyon ay nasabotahe.,Pinangambahan niya ang kaniyang mga kakompetensiya.
1105,I passed the job interview.,I anticipated the interviewer's questions.,The interviewer asked difficult questions.,cause,1,1,Naipasa ko ang panayam sa trabaho.,Inasahan ko ang mga tanong ng tagapanayam.,Ang tagapanayam ay nagbangon ng mahihirap na tanong.
364,The computer crashed.,I downloaded a virus.,I backed up my files.,cause,1,0,Ang computer ay bumagsak.,Nag - download ako ng virus.,Sinuhayan ko ang aking mga files.
1129,The trip was a fun time.,The driver talked the whole way.,The driver made a wrong turn.,cause,1,1,Ang biyahe ay isang masayang panahon.,Ang tsuper ay nagsalita sa buong paraan.,Ang tsuper ay gumawa ng maling pagliko.
387,I packed up my belongings.,I was hunting for a new apartment.,I was moving out of my apartment.,cause,2,0,Inimpake ko ang aking mga gamit.,Naghahanap ako ng bagong apartment.,Ako'y umaalis ng aking apartment.
1262,The man withheld personal information from the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,2,1,Ipinagkait ng lalaki ang personal na impormasyon sa therapist.,Nagtiwala siya sa therapist.,Hindi siya sang - ayon sa terapis.
11,The woman repaired her faucet.,The faucet was leaky.,The faucet was turned off.,cause,1,0,Inayos ng babae ang kaniyang gripo.,Ang gripo ay tumatagas.,Ang gripo ay pinatay.
1050,The children bumped their heads on the ceiling.,They jumped on the bed.,They had a pillow fight.,cause,1,1,Nabangga ng mga bata ang kanilang mga ulo sa kisame.,Sila'y tumalon sa kama.,Nag-away sila sa unan.
36,The man urgently leaped out of bed.,He wanted to iron his pants before work.,He wanted to shut off the alarm clock.,cause,2,0,Agad na lumukso sa kama ang lalaki.,Gusto niyang ipaplantsa ang kanyang pantalon bago magtrabaho.,Gusto niyang isara ang alarm clock.
282,The host of the trivia show called on the contestant for an answer.,The contestant rang the buzzer.,The contestant was in the lead.,cause,1,0,Ang host ng palabas na trivia ay nanawagan sa kalahok para sa isang sagot.,Ang kalahok ang nagpatunog sa buzzer.,Ang kalahok ay nangunguna.
237,The man broke his toe.,He got a hole in his sock.,He dropped a hammer on his foot.,cause,2,0,Binuwag ng lalaki ang kaniyang daliri sa paa.,Nabutasan niya ang kaniyang puwitan.,Naghulog siya ng martilyo sa kaniyang paa.
352,The customer came into the boutique.,The window display caught her eye.,She left her wallet at home.,cause,1,0,Ang parokyano ay pumasok sa boutique.,Ang displey sa bintana ay nakatawag ng kaniyang pansin.,Iniwan niya ang kaniyang pitaka sa bahay.
1206,The company sold more products.,Its products received positive consumer reviews.,Some of its products were manufactured defectively.,cause,1,1,Ang kompanya ay nakapagbenta ng mas maraming produkto.,Ang mga produkto nito ay nakatanggap ng positibong mga review ng mamimili.,Ang ilan sa mga produkto nito ay may depektong ginawa.
316,The girl stared at herself in the mirror.,She felt self-conscious.,The mirror was smudged.,cause,1,0,Ang batang babae ay tumitig sa kaniyang sarili sa salamin.,Siya ay nakaramdam ng sarili-malay.,Nakulong ang salamin.
85,The service at the restaurant was slow.,The restaurant was crowded.,There were many empty tables.,cause,1,0,Mabagal ang serbisyo sa restawran.,Punung - puno ang restawran.,Maraming bakanteng mesa.
1155,The woman aimed for a diploma.,She enrolled in college.,She graduated from college.,cause,1,1,Ang babae ay naglalayo ng diploma.,Nagpatala siya sa kolehiyo.,Nagtapos siya ng kolehiyo.
378,The patient went into a coma.,He suffered brain damage.,He suffered emotional trauma.,cause,1,0,Nakoma ang pasyente.,Nagkaroon siya ng pinsala sa utak.,Dumanas siya ng trauma sa emosyon.
1298,The manufacturer wouldn't fix the screen on the laptop after it went black.,The laptop's warranty expired.,The laptop's battery died.,cause,1,1,Hindi ino - set ng gumawa ang iskrin sa laptop pagkatapos na ito'y maging itim.,Ang warranty ng laptop ay natapos na.,Namatay ang batirya ng laptop.
396,The skier slipped on the slope.,She dropped her ski poles.,She hit a patch of ice.,cause,2,0,Ang nag - iiski ay nadulas sa dalisdis.,Siya'y naghulog ng mga pole ng kaniyang iski.,Nagkaroon siya ng isang piraso ng yelo.
1069,The shop was very popular.,The shop was undergoing renovation.,The owner was helping customers.,cause,2,1,Napakapopular ng tindahan.,Ang tindahan ay nire - repair.,Ang may - ari ay tumutulong sa mga parokyano.
1145,The army won the battle.,They were outnumbered.,They stormed the city.,cause,2,1,Nagwagi ang hukbo sa labanan.,Nahigitan pa ang mga ito.,Nilusob nila ang lunsod.
172,The teacher caught the student chewing gum.,The student spit out the gum.,The gum stuck to the student's shoe.,effect,1,0,Nahuli ng guro ang estudyante na ngumunguya ng chewing gum.,Itinapon ng estudyante ang gilagid.,Ang gilagid ay kumapit sa sapatos ng estudyante.
1494,The woman became senile.,Photographers followed her.,Her family avoided her.,effect,2,1,Ang babae ay naging senile.,Sinundan siya ng mga litratista.,Iniwasan siya ng kaniyang pamilya.
1261,The police officer pulled the celebrity by the wrist.,The celebrity offered the officer a bribe.,The celebrity sued the police officer.,effect,2,1,Hinila ng opisyal ng pulisya ang kilalang tao sa galanggalangan.,Inalok ng celebrity ang opisyal ng suhol.,Ang sikat na mga tao ay nagdemanda sa opisyal ng pulisya.
115,The speaker disarmed her debate opponent.,The speaker congratulated her opponent.,The speaker won the debate.,effect,2,0,Pinawalang - bisa ng tagapagsalita ang kaniyang katunggali sa debate.,Binabati ng tagapagsalita ang kaniyang kalaban.,Napanalunan ng tagapagsalita ang debate.
1296,A group of teenagers helped organizing the party.,The host of the party kicked them out.,The host of the party invited them in.,effect,2,1,Isang grupo ng mga tin - edyer ang tumulong sa pag - oorganisa ng partido.,Itinapon sila ng host ng partido.,Pinapasok sila ng punong - abala.
1286,My daughter suffered an panic attack.,I encouraged her to take deep breaths.,I took her to the emergency room.,effect,1,1,Ang aking anak na babae ay dumanas ng isang panic attack.,Hinimok ko siyang huminga nang malalim.,Dinala ko siya sa emergency room.
1063,The boaters caught a nice current.,Their boat drifted to shore.,Their boat was rescued.,effect,1,1,Ang mga namamangka ay nakahuli ng magandang agos.,Ang kanilang bangka ay tinangay ng agos patungo sa pampang.,Nasagip ang kanilang bangka.
389,The girl desired her parent's approval.,She ran away from home.,She obeyed her parent's rules.,effect,2,0,Nais ng batang babae ang pagsang - ayon ng kaniyang magulang.,Siya'y lumayas sa tahanan.,Sinunod niya ang mga tuntunin ng kaniyang magulang.
1293,The documents were loose.,I paper clipped them together.,I kept them in a secure place.,effect,1,1,Ang mga dokumento ay maluwag.,Pinagsama - sama ko ang mga ito sa papel.,Pinanatili ko sila sa isang ligtas na dako.
41,The tenant misplaced his keys to his apartment.,His landlord unlocked the door.,His landlord repaired the door.,effect,1,0,Mali ang pagkaunawa ng tenant sa kaniyang apartment.,Binuksan ng may - ari ng lupa ang pinto.,Inayos ng may - ari ng kaniyang bahay ang pinto.
188,The woman upgraded her computer hardware.,She deleted old files on the computer.,She installed new software on the computer.,effect,2,0,Inupgrade ng babae ang kaniyang computer hardware.,Inalis niya ang lumang mga file sa computer.,Naglagay siya ng bagong software sa computer.
1328,My friend had to go for a health checkup.,I brought her a card and flowers.,I dropped her off at the hospital.,effect,2,1,Kailangang magpatingin sa doktor ang aking kaibigan.,Nagdala ako sa kaniya ng isang kard at mga bulaklak.,Pinaalis ko siya sa ospital.
1486,The woman went to the polling station.,She casted a vote in the election.,She discovered the outcome of the election.,effect,1,1,Ang babae ay nagtungo sa polling station.,Siya ay bumoto sa halalan.,Natuklasan niya ang kinalabasan ng halalan.
1103,The child punched the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,1,1,Sinuntok ng bata ang salansan ng mga bloke.,Ang salansan ay nasa ibabaw ng ulo ng bata.,Ang mga bloke ay nakakalat sa alpombra.
220,The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,The police officer let the detective enter the crime scene.,effect,2,0,Binigay ng tiktik ang kaniyang badge sa pulis.,Kinumpiska ng opisyal ng pulisya ang badge ng detektib.,Pinapasok ng opisyal ng pulisya ang tiktik sa eksena ng krimen.
132,The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The horse trotted into the barn.,effect,1,0,Inihagis ng cowgirl ang kanyang lasso patungo sa kabayo.,Sinunggaban ng lasso ang kabayo.,Ang kabayo ay tumatakbo sa kamalig.
1281,The shopper won a discount on the cost of the item.,He decided to buy it.,He checked its price tag.,effect,1,1,Ang mamimili ay nakakuha ng diskuwento sa halaga ng bagay na iyon.,Ipinasiya niyang bilhin ito.,Sinuri niya ang presyo nito.
192,The bureau drawers were cluttered.,I locked the drawers shut.,I threw away unnecessary contents.,effect,2,0,Nakalat ang mga kahon ng kawanihan.,Isinara ko ang mga kahon.,Itinapon ko ang di - kinakailangang mga nilalaman.
1092,The photographer could not see the child's face.,The photographer quickly changed the child's pose.,The photographer quickly snapped the child's photo.,effect,1,1,Hindi makita ng litratista ang mukha ng bata.,Agad na binago ng litratista ang larawan ng bata.,Agad na binasag ng litratista ang larawan ng bata.
1020,The woman's ring got dirty.,The ring went down the drain.,The woman polished the ring.,effect,2,1,Narumi ang singsing ng babae.,Bumaba ang singsing sa drenahe.,Pinakinis ng babae ang singsing.
1488,The couple had a big fight.,They took some time apart.,They planned a wedding.,effect,1,1,Ang mag - asawa ay nagkaroon ng malaking pag - aaway.,Matagal - tagal din silang nagkahiwa - hiwalay.,Nagplano sila ng kasal.
486,The woman read the newspaper.,She casted a vote in the election.,She discovered the outcome of the election.,effect,2,0,Binasa ng babae ang pahayagan.,Siya ay bumoto sa halalan.,Natuklasan niya ang kinalabasan ng halalan.
1474,There was a big flood last autumn.,Leaves fell from the trees.,People evacuated their homes.,effect,2,1,Nagkaroon ng malaking baha noong nakaraang taglagas.,Nalaglag ang mga dahon mula sa mga puno.,Inilikas ng mga tao ang kanilang mga tahanan.
1173,The host served nothing to his guests.,His guests went hungry.,His guests were gracious.,effect,1,1,Walang inihain ang punong - abala sa kaniyang mga panauhin.,Nagutom ang kaniyang mga panauhin.,Ang kaniyang mga panauhin ay magiliw.
1171,The motorcyclist let go of the throttle.,The motorcycle coasted to a halt.,The motorcycle shot forward.,effect,1,1,Pinakawalan ng motorista ang throttle.,Ang motorsiklo ay huminto.,Ang motorsiklo ay lumipad nang pasulong.
208,The man woke up with a toothache.,He missed an appointment with the dentist.,He made an appointment with the dentist.,effect,2,0,Nagising ang lalaki na may sakit ng ngipin.,Hindi siya nakipag - appointment sa dentista.,Nakipag - appointment siya sa dentista.
1253,The man stepped in the mud.,He got his suit altered.,He got his shoes shined.,effect,2,1,Humampas ang lalaki sa putik.,Binago niya ang kaniyang terno.,Nakuha niya ang kanyang sapatos na makintab.
1172,The teacher threw the chewing gum at the student.,The student spit out the gum.,The gum stuck to the student's shoe.,effect,2,1,Inihagis ng guro ang chewing gum sa estudyante.,Itinapon ng estudyante ang gilagid.,Ang gilagid ay kumapit sa sapatos ng estudyante.
1075,The time was earlier than I thought.,The clock showed the wrong time.,I took extra time to get ready.,effect,2,1,Mas maaga ang panahon kaysa sa inaakala ko.,Ipinakita ng orasan ang maling oras.,Gumugol ako ng ekstrang panahon upang maghanda.
113,I received a package in the mail.,I took the package to the post office.,The package triggered my curiosity.,effect,2,0,Tumanggap ako ng isang pakete sa koreo.,Dinala ko ang pakete sa post office.,Ang pakete ang nag - udyok sa akin na mag - usisa.
141,I held the door for the woman entering behind me.,The woman thanked me.,The door slammed shut.,effect,1,0,Hinawakan ko ang pinto para sa babaing pumapasok sa likuran ko.,Pinasalamatan ako ng babae.,Ang pinto ay isinara.
218,The student's answer on the exam was incorrect.,The teacher subtracted points off the student's grade.,The teacher added bonus points to the student's grade.,effect,1,0,Mali ang sagot ng estudyante sa eksamen.,Ang guro ay nagbawas ng puntos sa grado ng estudyante.,Ang guro ay nagdagdag ng bonus points sa grado ng mag-aaral.
289,The boy painted a picture for his mother.,His mother sold the picture to a gallery.,His mother hung the picture on the wall.,effect,2,0,Ang batang lalaki ay nagpinta ng larawan para sa kaniyang ina.,Ipinagbili ng kaniyang ina ang larawan sa isang galerya.,Isinabit ng kaniyang ina ang larawan sa dingding.
1013,The frozen pond thawed in the spring.,People brought boats to the pond.,People skated on the pond.,effect,1,1,Ang nagyelong lawa ay natutunaw sa tagsibol.,Nagdala ang mga tao ng mga bangka sa lawa.,Ang mga tao ay nag - iskeyting sa lawa.
410,The man drank heavily at the party.,He had a headache the next day.,He had a runny nose the next day.,effect,1,0,Malakas uminom ang lalaki sa parti.,Sumasakit ang ulo niya kinabukasan.,Nagkaroon siya ng mabungos na ilong kinabukasan.
186,The doctor x-rayed the patient's arm.,He put the patient's arm in a cast.,He discovered that the patient's arm was broken.,effect,2,0,Ang doktor na si x-rayed ang braso ng pasyente.,Inilagay niya ang braso ng pasyente sa isang molde.,Natuklasan niya na nabali ang braso ng pasyente.
1403,The woman won the lottery.,She received her pension.,She paid off her mortgage.,effect,2,1,Ang babae ay nanalo sa loterya.,Tumanggap siya ng pensiyon.,Binabayaran niya ang kaniyang sangla.
447,The woman's hair fell in her face.,She lathered shampoo into her hair.,She pulled her hair back with a clip.,effect,2,0,Ang buhok ng babae ay nalaglag sa kaniyang mukha.,Siya'y naglapat ng shampoo sa kaniyang buhok.,Hinila niya ang kaniyang buhok sa pamamagitan ng isang clip.
127,Several witnesses of the crime testified against the suspect.,The suspect was acquitted.,The suspect was convicted.,effect,2,0,Ang ilang mga saksi ng krimen ay nagpatotoo laban sa suspek.,Ang suspek ay napawalang - sala.,Ang suspek ay nahatulan.
1012,The elderly woman made a phone call.,The woman's daughter came over to clean her house.,The woman's daughter moved in to take care of her.,effect,1,1,Ang may edad nang babae ay tumawag sa telepono.,Ang anak na babae ng babae ay lumapit upang linisin ang kaniyang bahay.,Ang anak na babae ng babae ay lumipat upang alagaan siya.
355,The putrid odor filled the room.,I clamped my hand over my nose.,I put the rubber gloves on.,effect,1,0,Napuno ng mabahong amoy ang silid.,Inipit ko ang aking kamay sa aking ilong.,Inilagay ko ang mga guwantes na goma.
313,The woman was summoned for jury duty.,She contacted her lawyer.,She cancelled her appointments.,effect,2,0,Ang babae ay ipinatawag para manungkulan sa hurado.,Nakipag - ugnayan siya sa kaniyang abogado.,Pinawalang - bisa niya ang kaniyang mga pag - aatas.
