gold_label,sentence1,sentence2,sentence1_opus,sentence2_opus
neutral,exactly it's it's an active state it's not something that you can kind of you know be passively involved in and expect to do any good really i don't think,I think you have to devote 10 hours a day to be good at it.,Ito nga'y isang aktibong kalagayan na hindi ito isang bagay na alam mong basta na lamang nasasangkot at asahang gumawa ng anumang mabuti na hindi mo iniisip,Sa palagay ko'y kailangan mong mag - ukol ng 10 oras sa isang araw upang maging mabuti rito.
neutral,"And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.",I hated him because he was so arrogant.,"At siya'y philander, isang d oh yea, siya'y katulad sa labas doon. At, ah, kaya nga, alam ninyo, hindi ko siya gusto, ngunit sa paano man ay mga kuwento ko.",Kinapootan ko siya sapagkat siya'y totoong arogante.
neutral,"Last year, you generously donated $-.","You donated $10,000 last year.","Noong nakaraang taon, bukas-loob kang nag-donate ng $-.","Nag - abuloy ka ng $10,000 noong nakaraang taon."
neutral,but uh so you like different foods huh,You must enjoy trying different ethnic foods.,ngunit uh kaya gusto mo ng iba't ibang pagkain huh,Dapat kang masiyahan sa pag - eeksperimento sa iba't ibang etnikong pagkain.
neutral,We need resources to recruit and develop outstanding teachers.,"We need to hire 100 new, good teachers.",Kailangan natin ang mga yaman upang mangalap at makapagpaunlad ng mahuhusay na guro.,Kailangan nating umupa ng 100 bago at mahuhusay na guro.
neutral,Other advisers have echoed this concern.,Only one adviser did not voice concern over this plan.,Ang iba pang tagapayo ay nagpahayag ng pagkabahalang ito.,Isang tagapayo lamang ang hindi nagpahayag ng pagkabahala sa planong ito.
neutral,Yet New York state senators and legislators privately admit they assented to the legislation because they were impressed with the ferocity of the support for the bill.,New York state has the more senators than other states.,Gayunman ang mga senador at mambabatas ng estado ng New York ay pribadong umaamin na sila'y sumang - ayon sa batas sapagkat sila'y humanga sa kabagsikan ng pagsuporta sa panukalang batas.,Ang estado ng Bagong York ay may mas maraming senador kaysa sa ibang estado.
neutral,There are also plenty of venues for more  risque  or avant-garde performances.,There are places that have strip tease shows.,Marami ring lugar para sa mas maraming mga pagtatanghal na risque o avant-garde.,May mga lugar na may mga palabas na strip teashing.
neutral,"After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.",You can see boats at the top of the hill.,"Pagkatapos magmasid sa palibot ng mga koleksiyong ito, umakyat sa burol patungo sa Bahay ng Komisyonado, kung saan makikita mo ang magagandang tanawin ng nakapalibot na baybayin at ng iba pang mga gusali ng daungan.",Makikita mo ang mga bangka sa tuktok ng burol.
neutral,"..,  but the second time the encounter is  he is caught in the middle between two friends.","He does not know which side to pick, between his two friends.",".., ngunit sa ikalawang pagkakataon ay naipit siya sa gitna ng dalawang magkaibigan.","Hindi niya alam kung aling panig ang pipiliin niya, sa pagitan ng kaniyang dalawang kaibigan."
neutral,right they will go through the slot,They are easy to slide through.,□ Sila'y magdaraan sa slot,Madaling daanan ang mga ito.
neutral,P. S. Your gift is important to our celebration of 85 years making the Indianapolis Civic Theatre the oldest continuously operating community theatre in the country.,"There was another theater that recently celebrated its 84th anniversary, but then it burned down.",P. S. Ang inyong regalo ay mahalaga sa aming pagdiriwang ng 85 taon na ginagawa ang Indianapolis Civic Theatre na pinakamatandang patuloy na nagpapatakbong komunidad na theatre sa bansa.,"May isa pang teatro na ipinagdiwang kamakailan ang ika - 84 na anibersaryo nito, subalit nasunog ito."
neutral,He beheld himself to be as the dog in the fable that had dropped the substance to snatch at a delusive shadow.,The fable is as old as time.,Nakita niya ang kaniyang sarili na gaya ng aso sa pabula na naghulog ng sustansiya upang agawin ang isang masamang anino.,Ang pabula ay kasintanda na ng panahon.
neutral,"So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.",General May and the pilots had a great time visiting the office.,"Kaya, mabuti ang I, uh, sa paano man, uh, uh, ito ang tatlo, uh, U2 piloto na, uh, tanggapan ni Pangulong Kennedy sa Washington kasama si Heneral May.",Si Heneral Mayo at ang mga piloto ay nagkaroon ng malaking panahon sa pagdalaw sa opisina.
neutral,"To put the matter differently, I could write an essay called  The Perils of Literacy  or  A Little Literacy Is a Dangerous Thing.",There could be other titles for a book I could write about the dangers of literacy.,"Sa ibang pananalita, ako'y nakasusulat ng isang sanaysay na tinatawag na The Decances of Literacy o A Little Literacy Is a Dang.",May iba pang mga titulo para sa isang aklat na maaari kong isulat tungkol sa mga panganib ng kakayahang bumasa't sumulat.
neutral,"Those participating will be provided prospects' names, addresses and telephone numbers, as well as background information on the school's needs.","Participants will have to sign a non-disclosure agreement, before accessing prospects' details.","Yaong mga makikibahagi ay bibigyan ng mga pangalan ng pag - asa, mga direksiyon at numero ng telepono, gayundin ng impormasyon tungkol sa mga pangangailangan ng paaralan.","Ang mga kalahok ay kailangang lumagda sa isang kasunduang non-disclosure, bago i-access ang mga detalye ng pag-asa."
neutral,That was in Bridgetown on the night of the Spanish raid.,People were killed in the Spanish raid.,Iyon ay sa Bridgetown noong gabi ng paglusob ng mga Kastila.,Ang mga tao ay napatay sa paglusob ng mga Kastila.
neutral,This kind of treatment for big contributors is quite routine.,Big contributors are always given special treatment at these events.,Ang ganitong uri ng paggamot sa malalaking kontribusyon ay karaniwan na lamang.,Ang malalaking kontribusyon ay laging binibigyan ng pantanging paggamot sa mga pangyayaring ito.
neutral,"She's like, But you need to look here, look here, she's gives me like three different places to look in the computer.",She told me the folders would be on the desktop.,"Gusto niya, Pero kailangan mong tumingin dito, tingnan mo, binibigyan niya ako ng tatlong iba't ibang lugar para makita ko ang kompyuter.",Sinabi niya sa akin na ang mga folder ay nasa desktop.
neutral,She pointed to a patch of equally depressing but bushier shrubbery.,She gestured towards a bush that was somewhat depressing.,Itinuro niya ang isang patse ng gayunding nakapanlulumo subalit mas bushbery.,Siya'y kumukumpas patungo sa isang palumpong na waring nakapanlulumo.
neutral,This has been true in primary care settings as well.,There were unpaid bills in primary care as well.,Totoo rin ito sa pangunahing mga kalagayan ng pangangalaga.,Mayroon ding mga pagkakautang na hindi binabayaran sa pangunahing pangangalaga.
neutral,"The people of the United States hoped to enjoy a peace dividend, as U.S. spending on national security was cut following the end of the Soviet military threat.",Defense budgets were cut by more than fifty billion dollars per year.,"Ang mga tao ng Estados Unidos ay umasang magtamasa ng isang paghahating pangkapayapaan, habang ang paggasta ng Estados Unidos sa pambansang seguridad ay naputol kasunod ng pagwawakas ng bantang militar ng Sobyet.",Ang mga badyet sa depensa ay binawasan ng mahigit na limampung bilyong dolyar sa bawat taon.
neutral,"Last Sunday, June 18th, the rain came and severely curtailed attendance at this year's Keepers of the Lore/Joseph Campbell Festival of Myth, Folklore and Story.",It rained 17 inches last Sunday.,"Noong nakaraang Linggo, ika - 18 ng Hunyo, dumating ang ulan at lubhang nabawasan ang bilang ng dumalo sa Lore/Joseph Campbell Festival of Myth, Folklore and Story sa taóng ito.",Umulan ng 17 pulgada noong nakaraang Linggo.
neutral,"Prudie wants you to immediately regain your sense of humor and be grateful that your pal stepped in before any, uh, harm was done.",Prudie thinks life is better when you laugh at everything.,"Nais ni Pridie na agad mong muling matamo ang iyong ugaling mapagpatawa at magpasalamat ka na ang iyong pal ay pumasok bago ang anumang, uh, pinsala ay ginawa.",Inaakala ni Pridie na ang buhay ay mas mabuti kapag pinagtatawanan mo ang lahat ng bagay.
neutral,"He stopped short at sight of Captain Blood, and saluted him, as was his due, but the smile that lifted the officer's stiff mostachios was grimly sardonic.",He could see Captain Blood.,"Huminto siya ng maikli sa pagkakita sa Kapitan Dugo, at bumati sa kanya, tulad ng nararapat sa kanya, ngunit ang ngiti na nagpataas sa matigas na mostachios ng opisyal ay malagim na sardonic.",Nakikita niya si Kapitan Dugo.
neutral,"The main point, though, is that there aren't actually all that many Milosevics in the world.",There are fewer than 1000 Milosevics in the world.,"Gayunman, ang pangunahing punto ay na wala naman talagang ganito karaming Milosevic sa daigdig.",Wala pang 1000 ang mga Milosevic sa buong mundo.
neutral,"19 Assuming four months of work prior to contract award, a total elapsed time of 13 months would have been necessary to retrofit this 675 MWe boiler.",It took 13 months to retrofit the boiler for the submarine.,"19 Ipagpalagay nang apat na buwan ng trabaho bago tumanggap ng bayad - pinsala, isang kabuuang lumipas na panahon na 13 buwan ang kakailanganin upang baguhin ang 675 MWe boiler na ito.",Gumugol ng 13 buwan upang baguhin ang boiler para sa submarino.
neutral,"Opposite, in the Cite de la Musique are the Musee de la Musique and a giant concert hall, the Zenith.",The Zenith hosts 1000 concerts a year.,"Sa kabilang panig, sa Cite de la Musique ay ang Musee de la Musique at isang pagkalaki - laking bulwagang pangkonsiyerto, ang Zenith.",Ang Zenith ay naglalaman ng 1000 konsiyerto sa isang taon.
neutral,"However, dramatic increases in the costs of law books, journals, and database services mean that simply maintaining our present collections exceeds our budget.","We need at least $10,000 in donations to allow us to maintain our present collections.","Gayunman, ang malaking pagtaas sa halaga ng mga aklat, babasahin, at mga serbisyo ng database ay nangangahulugan na ang basta pagpapanatili ng ating kasalukuyang koleksiyon ay nakahihigit sa ating badyet.","Kailangan natin ng di - kukulangin sa $10,000 donasyon upang mapanatili natin ang ating kasalukuyang mga koleksiyon."
neutral,"For a brief summary of these routines and the reasons why the intercepts were not properly digested, see Graham Allison and Philip Zelikow, Essence of Decision, 2d ed.",The intercepts were sent to the wrong person for analysis.,"Para sa maikling sumaryo ng mga rutinang ito at sa mga dahilan kung bakit ang mga harang ay hindi wastong natutunaw, tingnan ang Graham Allison at Philip Zelikow, Essensiya ng Pasiya, 2d ed.",Ang mga harang ay ipinadala sa maling tao para suriin.
neutral,The Great Depression hit California hard.,No one in California had jobs.,Matindi ang naging epekto ng Great Depression sa California.,Walang sinuman sa California ang may trabaho.
neutral,"But he was, you know, in a lot of ways, just like a plantation owner's son because he was the son of this guy who owned a lot of property.",His dad owned 2000 acres of farmland.,"Pero alam mo, siya'y parang anak ng isang may - ari ng plantasyon sapagkat siya ang anak ng lalaking ito na nagmamay - ari ng maraming ari - arian.",Ang kanyang ama ay nagmamay-ari ng 2000 hektarya ng sakahan.
neutral,"Aye,  said Ogle,  that is true.   But there were some who were still in open and frank revolt against the course.","The course was full of territory that was left unexplored and was, therefore, very dangerous.","Aye, sabi ni Ogle, totoo iyan, pero may ilan pa rin na hayagan at prangkang naghihimagsik laban sa kurso.","Ang kurso ay punô ng teritoryo na hindi pa nagagalugad at, samakatuwid, ay lubhang mapanganib."
neutral,yeah it was pretty reasonable,"Yes, we acknowledge that it was difficult but nonetheless came out pretty well in the end.",yah ito ay totoong makatuwiran,"Oo, kinikilala namin na ito'y mahirap ngunit maganda naman ang kinalabasan."
neutral,"Between 1936 and 1940 Greece was under the military dictatorship of Ioannis Metaxas, remembered for the resounding echi ( no ) he gave in reply to Mussolini's ultimatum to surrender in 1940.",Greece's economy did not do so well under the military dictatorship of Metaxas.,"Sa pagitan ng 1936 at 1940 ang Gresya ay nasa ilalim ng diktadurang militar ni Ioannis Metaxas, na naalala dahil sa umaalingawngaw na echi (hindi ) na ibinigay niya bilang tugon sa ultimatum ni Mussolini na sumuko noong 1940.",Ang ekonomiya ng Gresya ay hindi naging mahusay sa ilalim ng diktadurang militar ng Metaxas.
neutral,"So ye've come,  the Deputy-Governor hailed him, and followed the greeting by a series of grunts of vague but apparently ill-humoured import.",There was some remorse when the Deputy-Governor had waved hello.,"Kaya kayo ay dumating, ang Deputy-Governor ay nagbunyi sa kanya, at sinundan ang pagbati sa pamamagitan ng isang serye ng mga pag-ugong ng malabo ngunit lumilitaw na masamang-humored na pag-angkat.",Nagkaroon ng ilang pagsisisi nang ang Deputy-Governor ay kumaway ng pagbati.
neutral,"The dedicated professional staff, headed by Philip Zelikow, has contributed innumerable hours to the completion of this report, setting aside other important endeavors to take on this all-consuming assignment.",There were twenty people on Philip Zelikow's staff.,"Ang dedikadong mga propesyonal na tauhan, na pinamumunuan ni Philip Zelikow, ay nag-ambag ng di mabilang na oras sa pagkumpleto ng ulat na ito, at nagtabi ng iba pang mahahalagang mga pagsisikap upang gampanan ang atas na ito na pang-konsumpsiyon.",May dalawampung katao sa baston ni Philip Zelikow.
neutral,It's important that we hear from you during this last fundraising drive of the season.,"We need $100,000 more to make our fundraising quotas this season.",Mahalagang marinig namin mula sa inyo sa huling fundraising drive na ito ng season.,"Kailangan pa natin ng $100,000 upang makagawa tayo ng mga kota sa panahong ito."
neutral,"And I was like OK, and that was it!","When I said yes, we decided that we would get married that day.","At ayos naman ako, at gayon nga!","Nang sumagot ako ng oo, ipinasiya naming magpakasal sa araw na iyon."
neutral,Population growth is like pollution in reverse.,Pollution is a limiting factor for population growth.,Ang paglaki ng populasyon ay gaya ng polusyon sa kabaligtaran.,Ang polusyon ay isang salik para sa pagdami ng populasyon.
neutral,Practice 4: Manage Risk on a Continuing Basis,This exercise must be completed and turned in by the end of the week.,Magsanay 4: Paghawak sa Panganib sa Isang Patuloy na Saligan,Ang ehersisyong ito ay dapat na matapos at gawin sa pagtatapos ng linggo.
neutral,"Four of the 9/11 attackers were pulled into secondary border inspection, but then admitted.",They received extra inspections because they wore funny looking hats.,"Apat sa 9/11 na mga sumalakay ay nahila sa second border inspection, ngunit pagkatapos ay inamin.",Sila'y tumanggap ng karagdagang mga pagsisiyasat sapagkat sila'y nagsuot ng katawa - tawang mga sombrero.
neutral,And who the devil may you be?  he exploded at last.,The person was actually the devil himself.,At sino kaya kayo ng diablo? sa wakas ay sumabog siya.,"Ang totoo, siya mismo ang diyablo."
neutral,"Conversely, if new precedents never sent out ripples, the common law could hardly evolve at all.",The Greeks and Romans had laws that we use today.,"Sa kabaligtaran naman, kung ang bagong mga pamarisan ay hindi kailanman maglalabas ng maliliit na alon, ang karaniwang batas ay hindi maaaring mag - evolve.",Ang mga Griego at Romano ay may mga batas na ginagamit natin sa ngayon.
neutral,TABLE A.- TOTAL MERCURY ALLOWANCES ALLOCATED OR AUCTIONED FOR EGUS,Mercury can't be above 10 ppm.,PAGTANGGAP NG A.-TUWAL NA LAMAN SA LAHAT NG ALUKLASAN O AUKSIYON PARA SA EGUS,Ang Mercury ay hindi maaaring higit sa 10 pm.
neutral,But such acknowledgments do not qualify as dedications in the sense generally understood and in the book at hand in particular.,The acknowledgements are not useful.,Subalit ang gayong mga pagkilala ay hindi kuwalipikado bilang mga pag - aalay sa diwa na karaniwang nauunawaan at sa aklat lalo na sa kasalukuyan.,Ang mga pagkilala ay hindi kapaki - pakinabang.
neutral,There is no indication that Atta or Shehhi received any additional flight training in June.,Atta and Shehhi received their flight certifications in May.,Walang pahiwatig na nakatanggap si Atta o Shehhi ng anumang karagdagang pagsasanay sa paglipad noong Hunyo.,Natanggap nina Atta at Shehhi ang kanilang mga sertipikasyon sa paglipad noong Mayo.
neutral,"15 The commander wants us to do something, and has used the language of the law to move us toward action.","If it weren't for the law, we would have disobeyed the commander.","15 Gusto ng kumandante na gumawa tayo ng isang bagay, at ginamit niya ang wika ng batas para pakilusin tayong kumilos.","Kung hindi dahil sa batas, disin sana'y sinuway natin ang kumandante."
neutral,The presence of Bugsy Siegel and Kid Twist in our recent history does not mean we are a tough people.,The presence of these rappers in our history doesn't guarantee we are tough.,Ang pagkanaroroon nina Bugsy Siegel at Kid Twist sa ating kamakailang kasaysayan ay hindi nangangahulugan na tayo ay isang mahirap na bayan.,Ang pagkanaroroon ng mga rapper na ito sa ating kasaysayan ay hindi garantiya na tayo ay mahirap.
neutral,"As for challenges, I am currently looking for a word that can be cut into two successively smaller forms.","I have taken an interest in linguistics, since I took an introductory class last year.","Kung tungkol naman sa mga hamon, ako ngayon ay naghahanap ng isang salita na maaaring hiwain sa dalawang sunud - sunod na mas maliliit na anyo.","Ako'y nagkaroon ng interes sa mga wika, yamang ako'y kumuha ng isang panimulang klase noong nakaraang taon."
neutral,"LSC-funded attorneys would be required to monitor the movements of their clients, and to withdraw from cases whenever their alien clients leave the United States.",Attorneys get paid by the LSC if they are working in terrorism.,"Ang mga LSC-founded attorney ay hihilinging subaybayan ang mga galaw ng kanilang mga kliyente, at lumayo sa mga kaso kailanma't umalis ang kanilang mga dayuhang kliyente sa Estados Unidos.",Ang mga abugado ay binabayaran ng LSC kung sila ay gumagawa sa terorismo.
neutral,But Wolverstone would not stop.,The Wolverstone was part of an elaborate ploy.,Ngunit hindi titigil si Wolverstone.,Ang Wolverstone ay bahagi ng isang masalimuot na pakana.
neutral,"Have a look at Passeig de Gracia to the east, especially the carrers Diputacie, Consell de Cent, Mallorca, and Valancia as far as the Mercat de la Concepcie market.",The market sells lots of fruits and vegetables.,"Tingnan ang Passeig de Gracia sa silangan, lalo na ang mga carrer Diputacie, Consell de Cent, Mallorca, at Valancia hanggang sa merkado ng Mercat de la Concepcie.",Ang pamilihan ay nagtitinda ng maraming prutas at gulay.
neutral,"And, uh, they moved downtown and, there was, uh, and it's still like this in Augusta, this big street downtown called Broad Street, and it really was just this broad street in a downtown area.",They went to the street with the most restaurants and bars.,"At, uh, sila ay lumipat sa kabayanan at, may, uh, at tulad pa rin nito sa Augusta, ang malaking kalyeng ito na tinatawag na Broad Street, at ito ay talagang ang malapad na kalyeng ito sa isang kabayanan.",Nagpunta sila sa lansangan kasama ang karamihan sa mga restawran at bar.
neutral,um there's nothing wrong with a parent gifting everything she has to uh to uh to an individual like uh like like you,It's ok for parents to support their kids until they are able to do it on their own.,Mum wala namang masama sa isang magulang na nag - aalok ng lahat ng bagay na mayroon siya upang ih sa isang tao na gaya mo,Ok para sa mga magulang na suportahan ang kanilang mga anak hanggang sa magawa nila ito sa ganang sarili nila.
neutral,"Be sure to see the 1887 a5 coin, which caused consternation among British subjects of the time.",The a5 coin is incredibly rare.,"Tiyaking makita ang 1887 a5 sensilyo, na naging sanhi ng konsumpsiyon sa mga sakop ng Britanya noong panahong iyon.",Ang isang5 barya ay totoong pambihira.
neutral,"As we will see, in both cases, it appears that something profound is going on in the universe that is not finitely prestatable.",The universe is a very confusing place.,"Gaya ng makikita natin, sa dalawang kasong ito, lumilitaw na may isang bagay na malalim na nagaganap sa uniberso na hindi pa lubusang matutukoy.",Ang sansinukob ay isang nakalilitong dako.
neutral,P. S. A tribute donation to the IMA makes a wonderful holiday gift.,Gentle note that you could make donations any time not just around the holidays.,Ang donasyong tributo sa IMA ng P. S. ay isang napakagandang regalo para sa pista.,Pansinin na puwede kang mag - abuloy anumang oras hindi lang kapag may kapistahan.
neutral,Go beyond these sights to Nathaniel Hawthorne's House of the Seven Gables.,The Seven Gables is the best sight to see.,Lumampas ka pa sa mga tanawing ito sa House of the Seven Gables ni Nathaniel Hawthorne.,Ang Pitong Gables ang pinakamagandang tanawin na makikita.
neutral,"Diego followed her instructions and at the top of the hill he found beautiful roses of Castile, still covered with dew.",Diego did not really want to follow her instructions.,"Sinunod ni Diego ang mga tagubilin nito at sa tuktok ng burol ay natagpuan niya ang magagandang rosas ng Castile, na natatakpan pa rin ng hamog.",Ayaw talagang sundin ni Diego ang kaniyang mga tagubilin.
neutral,"We have already come a long way, and much is left to do.",There are exactly five more tasks that must still be accomplished.,"Malayo na ang narating natin, at marami nang dapat gawin.",May tiyak na lima pang atas na dapat pang gawin.
neutral,I hope you will remain a contributor and even consider honoring our 25 years of storytelling by increasing your gift $25 this year.,Your gift last year was $33.,Inaasahan ko na kayo'y mananatiling isang tagapag - abuloy at isasaalang - alang pa nga ang paggalang sa aming 25 taon ng pagkukuwento sa pamamagitan ng pagdaragdag ng inyong regalong $25 sa taóng ito.,Ang inyong regalo noong nakaraang taon ay $33.
neutral,yeah i think there's so much more economicable too just like with gas and everything i mean i can go forever on a tank of gas,They are also the best looking cars around.,Ang yah i ay nag-iisip na may higit na episodyo katulad ng gas at lahat ng ibig sabihin i ay maaaring pumunta magpakailanman sa isang tangke ng gas,Sila rin ang pinakamagandang tingnang mga kotse sa paligid.
neutral,"If you're looking for an evening alternative to Harvard Square, head to Hispanic-flavored Inman Square, located down Cambridge Street.",Harvard Square is dangerous at night.,"Kung naghahanap ka ng isang panggabing alternatibo sa Harvard Square, pumunta sa Hispanic-flavored Inman Square, na matatagpuan sa down Cambridge Street.",Ang Harvard Square ay mapanganib sa gabi.
neutral,The spirit of liberalism prevalent in Europe was tardy in reaching Spain.,Liberalism came to spain in 1920.,Ang espiritu ng liberalismo na laganap sa Europa ay hindi sapat upang marating ang Espanya.,Ang Liberalismo ay dumating sa spam noong 1920.
neutral,"Intelligence report, interrogation of KSM, July 30, 2003.",The interrogation revealed that KSM's favorite ice cream flavor was chocolate.,"Intelligence report, interogasyon ng KSM, Hulyo 30, 2003.",Isiniwalat ng pagtatanong na ang paboritong lasa ng sorbetes ng KSM ay tsokolate.
neutral,Even though I don't see how he could have expected me to have it done.,I don't understand why he expected me to finish the drawing today,Bagaman hindi ko maunawaan kung paano niya inaasahan na gagawin ko ito.,Hindi ko maintindihan kung bakit niya inaasahan na tatapusin ko ang pagguhit ngayon
neutral,"Efficacy trials are the first step, but implementation of proven alcohol screening and brief intervention systems in hospital- and community-based settings has been the most difficult part of the process.",First you'll need to test the efficacy of an intervention.,"Ang mga pagsubok sa efficacy ay ang unang hakbang, ngunit ang pagpapatupad ng napatunayang pagsusuri ng alkohol at maikling mga sistemang interaksyon sa hospital- at pamayanan-based settings ang pinakamahirap na bahagi ng proseso.",Kailangan mo munang subukin ang bisa ng isang interaksyon.
neutral,"To assist you with your contribution, please feel free to call Kathy Dannels, Director of Development, at 924-6770 ext.",Kathy Dannels answers calls promptly,"Upang tulungan ka sa iyong kontribusyon, pakisuyong malayang tawagin si Kathy Dannels, Direktor ng Development, sa 924-6770 ext.",Si Kathy Dannels ang agad na sumasagot sa mga tawag
neutral,Still there is shade and a flower garden in the middle of the square where locals and visitors alike rendezvous for lunch or dinner dates.,People line up to eat in the garden.,Mayroon pa ring lilim at isang hardin ng bulaklak sa gitna ng plasa kung saan ang mga tagaroon at mga bisita ay nagtatagpo para sa mga petsa ng pananghalian o hapunan.,Ang mga tao ay pumipila upang kumain sa hardin.
neutral,The operators were not given any information about the inability to conduct rooftop rescues and therefore could not advise callers that they had essentially been ruled out.,Helocopters could not be flown near the roofs due to fires in the area.,Ang mga opereytor ay hindi binigyan ng anumang impormasyon tungkol sa kawalang - kakayahan na magsagawa ng mga pagsagip sa bubong at sa gayo'y hindi nila maipapayo sa mga tumatawag na sila'y hindi na gaanong binigyan ng impormasyon.,Ang mga helikopter ay hindi maililipad malapit sa mga bubong dahil sa mga sunog sa lugar na iyon.
neutral,"If so, they might be induced to buy this edition because it contains 55 pages of words, definitions, and citations not previously published.",This edition sold more than five hundred thousand copies in its first year.,"Kung gayon, baka mahikayat silang bilhin ang edisyong ito dahil naglalaman ito ng 55 pahina ng mga salita, pakahulugan, at mga teksto na hindi pa nailalathala noon.",Ang edisyong ito ay nakapagbenta ng higit sa limang daang libong kopya sa unang taon nito.
neutral,The Scotsman reports that Edinburgh University is withholding exam results from 90 computer science students while the administration determines whether or not they used the Internet to cheat.,Some students might have cheated on their finals.,Iniuulat ng The Scotsman na ipinagkakait ng Edinburgh University ang mga resulta ng eksamen mula sa 90 estudyante sa siyensiya ng computer samantalang tinitiyak ng administrasyon kung ginagamit nila o hindi ang Internet upang mandaya.,Maaaring dinaya ng ilang estudyante ang kanilang mga huling pag - aaral.
neutral,"England's,  she corrected him in reproof.",She was always tasked with correcting him.,"Sa Inglatera, itinuwid niya ito sa pamamagitan ng pagsaway.",Lagi siyang itinutuwid.
neutral,"As discussed earlier, the reason Jane decided she could not share information was because the initial information on Mihdhar had been analyzed by the NSA.",Jane never wanted to share the information.,"Gaya ng tinalakay kanina, ang dahilan kung bakit ipinasiya ni Jane na hindi niya maaaring ibahagi ang impormasyon ay sapagkat ang unang impormasyon tungkol kay Mihdhar ay sinuri ng NSA.",Ayaw na ayaw ibahagi ni Jane ang impormasyon.
neutral,Is there any reason why she didn't tell you?,Why wouldn't she tell you about the baby?,May dahilan ba kung bakit hindi niya sinabi sa iyo?,Bakit hindi niya sasabihin sa iyo ang tungkol sa sanggol?
neutral,"-conceive, design and hand-sew the many beautiful costumes, such as Mary Todd's period dresses in Abe Lincoln in Illinois and the ball gowns in A Christmas Carol.",The costumes were only worked on by human hands.,"-conceive, disenyo at hand-show ang maraming magagandang kasuotan, tulad ng panahon ni Mary Todd na damit sa Abe Lincoln sa Illinois at ang mga ball traws sa A Christmas Carol.",Ang mga kasuutan ay gawa lamang ng mga kamay ng tao.
neutral,Linguists have demonstrated that the first lingua france (called Mediterranean Lingua Franca by many linguists) was actually spoken before the first Crusade began in A.D. 1096.,The first Lingua France was spoken in the Mediterranean.,Ipinakita ng mga dalubwika na ang unang lingua france (tinatawag na Mediterranean Lingua Franca ng maraming mga dalubwika) ay aktuwal na sinalita bago ang unang Krusada ay nagsimula noong A.D. 1096.,Ang unang Lingua France ay sinasalita sa Mediteraneo.
neutral,I believe just the opposite.,"I think you are wrong, that the answer is yes and not no.",Ang kabaligtaran ang pinaniniwalaan ko.,"Sa palagay ko'y mali kayo, na ang sagot ay oo at hindi hindi."
neutral,What we see are details.,The details have been printed out on legal paper for everyone to see.,Ang nakikita natin ay mga detalye.,Ang mga detalye ay inilimbag sa legal na papel upang makita ng lahat.
neutral,"Fully professional, fully produced theatre has made a difference to children like Becky, Stephanie, Marcus, Emily, and their classmates from across the state of Indiana.",Our theatre productions have helped elementary school children learn how to paint.,"Ang ganap na propesyonal, ganap na ginawa ang theatre ay nakatulong sa mga batang gaya nina Becky, Stephanie, Marcus, Emily, at ng kanilang mga kaklase mula sa ibayo ng estado ng Indiana.",Ang aming mga produksiyon ng theatre ay nakatulong sa mga bata sa mababang paaralan na matutong magpinta.
neutral,"Pynchon : As befits a man guarding, as opposed to flaunting, his privacy, Pynchon has kept his private life private.",It is rumored that Pynchon has a son and daughter.,"Pynchon : Gaya ng nararapat sa isang taong nagbabantay, bilang kabaligtaran ng pagyayabang, ang kanyang pribadong buhay, pinanatiling pribado ni Pynchon ang kanyang pribadong buhay.",Sinasabi na si Pynchon ay may anak na lalaki at babae.
contradiction,The problem of exploitation in apparently voluntary sexual relations has long been with us.,There is no exploitation in sexual relations that are voluntary.,Ang problema ng pagsasamantala sa maliwanag na kusang seksuwal na mga kaugnayan ay malaon nang taglay natin.,Walang pagsasamantala sa seksuwal na mga kaugnayan na kusang - loob.
contradiction,I hope your lordship begins at last to perceive the folly of granting the King's commission to such a man as this against all my counsels.,The lordship just took my advice and carried his acts accordingly.,Inaasahan ko na ang inyong pagkapanginoon ay magsisimula sa wakas upang maunawaan ang kamangmangan ng pagkakaloob ng atas ng Hari sa gayong tao na gaya nito sa lahat ng aking payo.,Ang pagkapanginoon ay sumunod lamang sa aking payo at isinagawa ang kaniyang mga gawa alinsunod dito.
contradiction,"Cynicism dissolves with your first taste of the town's gentle ambience, created by a clever combination of the comforts of sophisticated modernity with the simpler joys of the wilderness at its back door.","The town is an angry, terrible place.","Ang rasismo ay natutunaw sa pamamagitan ng iyong unang pagtikim sa magiliw na diwa ng bayan, na nilikha ng isang matalinong kombinasyon ng mga kaalwanan ng makabagong teknolohiya sa mas simpleng mga kagalakan ng iláng sa likurang pintuan nito.",Ang bayan ay isang galit at kakila-kilabot na lugar.
contradiction,"Several Tejano folk heroes, such as Gregorio Cortez, Juan Cortina, and Catarino Garza became memorialized because of their confrontations with the Texas Rangers.",Catarino Garza was a well known Texas Ranger.,"Ilang katutubong bayani na Tejano, katulad nina Gregorio Cortez, Juan Cortina, at Catarino Garza ang naging alaala dahil sa kanilang mga sagupaan sa Texas Rangers.",Si Catarino Garza ay isang kilalang Texas Ranger.
