gold_label,sentence1,sentence2
neutral,"Kaya, eh, ako, uh, gayunpaman, uh, uh, ito ang tatlong U2 pilot na nasa opisina ni Pangulong Kennedy sa Washington kasama si Heneral May.",Nag-enjoy nang husto sina Heneral May at ang mga piloto sa pagbisita sa opisina.
neutral,"Sa ibang paglalagay ng usapin, maaari akong magsulat ng sanaysay na pinamagatang Ang mga Panganib ng Pagkakaalam o Ang Kaunting Pagkakaalam ay Mapanganib.",Maaaring may iba pang mga pamagat para sa aklat na maaari kong isulat tungkol sa mga panganib ng literasiya.
neutral,"Ang mga kalahok ay bibigyan ng mga pangalan, tirahan, at numero ng telepono ng mga potensyal na kliyente, pati na rin ng impormasyon tungkol sa mga pangangailangan ng paaralan.",Kailangang pumirma ang mga kalahok ng kasunduan sa hindi pagsisiwalat bago ma-access ang mga detalye ng mga potensyal na kliyente.
neutral,Nangyari iyon sa Bridgetown sa gabi ng pagsalakay ng mga Espanyol.,May mga taong napatay sa pagsalakay ng mga Espanyol.
neutral,Ang ganitong uri ng pagtrato sa malalaking kontribusyon ay karaniwan na.,Ang mga malalaking nag-aambag ay palaging binibigyan ng espesyal na pagtrato sa mga kaganapang ito.
neutral,"Sabi niya, ""Kailangan mong tingnan dito, tingnan dito,"" at tinuro niya sa akin ang tatlong magkakaibang lugar na titingnan sa kompyuter.",Sinabi niya sa akin na ang mga folder ay nasa desktop.
neutral,Itinuro niya ang isang bahagi ng pantay na nakalulungkot ngunit mas masiksik na palumpong.,Ipinahiwatig niya ang isang palumpong na medyo nakakalungkot.
neutral,Totoo rin ito sa mga setting ng pangunahing pangangalaga.,May mga hindi nabayarang bayarin din sa pangunahing pangangalaga.
neutral,"Umaasa ang mga tao sa Estados Unidos na makatamasa ng dibidendo ng kapayapaan, dahil binawasan ang paggasta ng Estados Unidos sa pambansang seguridad matapos mawala ang banta ng militar ng Sobyet.",Ang mga badyet para sa depensa ay binawasan ng higit sa limampung bilyong dolyar bawat taon.
neutral,"Noong nakaraang Linggo, Hunyo 18, dumating ang ulan at labis na nabawasan ang bilang ng mga dumalo sa taunang Keepers of the Lore/Joseph Campbell Festival of Myth, Folklore and Story.",Umulan ng 17 pulgada noong nakaraang Linggo.
neutral,"Gusto ni Prudie na agad mong maibalik ang iyong pagpapatawa at magpasalamat ka na sumingit ang kaibigan mo bago pa man may, uh, masamang mangyari.","Ayon kay Prudie, mas maganda ang buhay kapag tina-tawa mo ang lahat."
neutral,"Bigla siyang huminto nang makita si Kapitan Blood at binati siya ayon sa nararapat, ngunit ang ngiti na nagpaangat sa matigas na bigote ng opisyal ay malupit na sarkastiko.",Nakita niya si Captain Blood.
neutral,"Ang pangunahing punto, gayunpaman, ay hindi naman talaga ganoon karami ang mga Milosevic sa mundo.",Mas mababa sa 1000 ang bilang ng mga Milosevic sa buong mundo.
neutral,"19 Kung ipagpapalagay na apat na buwan ng trabaho bago mabigyan ng kontrata, kakailanganin ang kabuuang 13 buwang panahon upang i-retrofit ang 675 MWe na boiler na ito.",Inabot ng 13 buwan ang pag-aangkop ng boiler para sa submarino.
neutral,"Sa kabilang banda, sa Cité de la Musique matatagpuan ang Musée de la Musique at ang isang higanteng bulwagan-konsiyerto, ang Zenith.",Ang Zenith ay nagho-host ng 1000 konsyerto bawat taon.
neutral,"Gayunpaman, ang matinding pagtaas ng gastos sa mga aklat ng batas, mga journal, at mga serbisyo ng database ay nangangahulugang ang simpleng pagpapanatili ng kasalukuyan naming koleksyon ay lumalampas sa aming badyet.","Kailangan namin ng hindi bababa sa $10,000 na donasyon upang mapanatili ang aming kasalukuyang mga koleksyon."
neutral,"Para sa isang maikling buod ng mga rutinang ito at ng mga dahilan kung bakit hindi maayos na na-digest ang mga intercept, tingnan sina Graham Allison at Philip Zelikow, Essence of Decision, ika-2 edisyon.",Ang mga intersepsyon ay ipinadala sa maling tao para sa pagsusuri.
neutral,Matinding tinamaan ng Dakilang Depresyon ang California.,Walang sinuman sa California ang may trabaho.
neutral,"Pero siya, alam mo, sa maraming paraan ay parang anak ng may-ari ng plantasyon dahil siya ang anak ng lalaking may maraming ari-arian.",Ang ama niya ay nagmamay-ari ng 2000 ektarya ng lupang sakahan.
neutral,"Oo, sabi ni Ogle, totoo iyan. Ngunit may ilan pa rin na lantad at tapat na sumasalungat sa kurso.","Ang kurso ay puno ng mga teritoryong hindi pa natutuklasan at dahil dito, napakadelikado."
neutral,"Oo, medyo makatwiran nga.","Oo, kinikilala namin na mahirap ito ngunit sa huli ay naging maayos naman."
neutral,"Sa pagitan ng 1936 at 1940, ang Gresya ay nasa ilalim ng diktadurang militar ni Ioannis Metaxas, na naaalala dahil sa malakas na echi (hindi) na ibinigay niya bilang tugon sa ultimatum ni Mussolini na sumuko noong 1940.",Hindi naging maganda ang kalagayan ng ekonomiya ng Gresya sa ilalim ng diktadurang militar ni Metaxas.
neutral,"""Kaya't dumating ka na,"" bati ng Pangalawang Gobernador sa kanya, at sinundan ang bati ng sunud-sunod na ungol na malabo ngunit tila masungit ang kahulugan.",May bahagyang pagsisisi nang kumaway ng pagbati ang Pangalawang Gobernador.
neutral,"Ang dedikadong propesyonal na kawani, na pinamumunuan ni Philip Zelikow, ay naglaan ng hindi mabilang na oras para sa pagkumpleto ng ulat na ito, at inisantabi ang iba pang mahahalagang gawain upang harapin ang tungkuling ito na lubos na nagnanakaw ng kanilang oras.",May dalawampung tao sa kawani ni Philip Zelikow.
neutral,Mahalaga na marinig namin mula sa iyo sa huling pangangalap ng pondo ngayong panahon.,"Kailangan namin ng karagdagang $100,000 para matugunan ang aming mga quota sa pangangalap ng pondo ngayong panahon."
neutral,"At sabi ko, OK, at iyon na iyon!","Nang sinabi kong oo, nagpasya kaming magpakasal sa araw na iyon."
neutral,Ang paglago ng populasyon ay parang polusyon na kabaliktaran.,Ang polusyon ay isang salik na naglilimita sa paglago ng populasyon.
neutral,Pagsasanay 4: Pamahalaan ang panganib nang tuloy-tuloy,Ang ehersisyong ito ay dapat makumpleto at isumite bago matapos ang linggo.
neutral,"Apat sa mga salarin ng 9/11 ay dinala sa pangalawang inspeksyon sa hangganan, ngunit pagkatapos ay pinayagan silang makapasok.",Nakakuha sila ng karagdagang inspeksyon dahil nakasuot sila ng mga nakakatawang sumbrero.
neutral,At sino ka ba pinagmulan ng kasamaan? sumabog na siya sa wakas.,Ang tao ay talagang ang diyablo mismo.
neutral,"Sa kabaligtaran, kung ang mga bagong naunang pasiya ay hindi kailanman nagdulot ng mga alon, halos hindi makakagalaw ang common law.",May mga batas ang mga Griyego at Romano na ginagamit natin hanggang ngayon.
neutral,TABLE A.- KABUUANG MGA BAYAD-PAHINTULOT NG MERCURY NA INILALAAN O INILINGKIS PARA SA EGUS,Hindi maaaring lumagpas sa 10 ppm ang merkuryo.
neutral,Ngunit ang mga ganitong pagkilala ay hindi itinuturing na dedikasyon sa karaniwang pagkaunawa at lalo na sa aklat na ito.,Hindi kapaki-pakinabang ang mga pasasalamat.
neutral,Walang indikasyon na sina Atta o Shehhi ay nakatanggap ng anumang karagdagang pagsasanay sa paglipad noong Hunyo.,Natanggap nina Atta at Shehhi ang kanilang mga sertipikasyon sa paglipad noong Mayo.
neutral,"15 Nais ng kumander na gawin natin ang isang bagay, at ginamit niya ang wika ng batas upang itulak tayo sa pagkilos.","Kung hindi dahil sa batas, sumuway sana kami sa kumander."
neutral,Ang presensya nina Bugsy Siegel at Kid Twist sa ating kamakailang kasaysayan ay hindi nangangahulugang tayo ay matitigas na tao.,Ang presensya ng mga rapper na ito sa ating kasaysayan ay hindi nangangahulugang matitigas tayo.
neutral,"Tungkol sa mga hamon, kasalukuyan akong naghahanap ng isang salita na maaaring gupitin sa dalawang magkasunod na mas maliliit na anyo.",Nagkaroon ako ng interes sa lingguwistika mula nang kumuha ako ng panimulang kurso noong nakaraang taon.
neutral,"Ang mga abogado na pinondohan ng LSC ay kinakailangang subaybayan ang galaw ng kanilang mga kliyente, at umatras sa mga kaso tuwing aalis ang kanilang mga dayuhang kliyente sa Estados Unidos.",Binabayaran ng LSC ang mga abogado kung sila ay nagtatrabaho sa terorismo.
neutral,Ngunit hindi tumigil si Wolverstone.,Ang Wolverstone ay bahagi ng isang masalimuot na pakana.
neutral,"Tingnan ang Passeig de Gracia sa silangan, lalo na ang mga kalye Diputacie, Consell de Cent, Mallorca, at Valancia hanggang sa pamilihang Mercat de la Concepcie.",Ang palengke ay nagbebenta ng maraming prutas at gulay.
neutral,"At, uh, lumipat sila sa downtown at, uh, at ganoon pa rin ito sa Augusta, isang malaking kalye sa downtown na tinatawag na Broad Street, at talagang isa lang itong malapad na kalye sa downtown.",Pumunta sila sa kalye na may pinakamaraming restawran at bar.
neutral,"Uh, walang masama kung ibibigay ng magulang ang lahat ng meron siya sa isang tao tulad mo.",Ayos lang para sa mga magulang na suportahan ang kanilang mga anak hanggang sa kaya na nilang mag-isa.
neutral,"Tiyaking makita ang barya na 1887 a5, na nagdulot ng pagkabigla sa mga nasasakupan ng Britanya noong panahong iyon.",Ang barya na a5 ay napakabihira.
neutral,"Tulad ng makikita natin, sa parehong mga kaso, tila may isang malalim na nangyayari sa sansinukob na hindi maipapahayag nang may hangganan.",Ang sansinukob ay isang napakalito na lugar.
neutral,P.S. Ang donasyong pang-pugay sa IMA ay isang napakagandang regalong pangkapaskuhan.,"Mabuting tandaan na maaari kang magbigay ng donasyon anumang oras, hindi lang tuwing kapaskuhan."
neutral,Lumampas sa mga tanawing ito patungo sa Bahay ng Pitong Gable ni Nathaniel Hawthorne.,Ang The Seven Gables ang pinakamagandang tanawin na dapat makita.
neutral,Sinunod ni Diego ang kanyang mga tagubilin at sa tuktok ng burol ay nakita niya ang magagandang rosas ng Castile na natatakpan pa ng hamog.,Hindi talaga gustong sundin ni Diego ang kanyang mga tagubilin.
neutral,"Malayo na ang narating natin, at marami pa ang kailangang gawin.",May limang eksaktong karagdagang gawain na kailangang tapusin pa.
neutral,Sana'y manatili kang tagapag-ambag at isaalang-alang mong parangalan ang aming 25 taon ng pagkukwento sa pamamagitan ng pagtaas ng iyong donasyon ng $25 ngayong taon.,Ang regalo mo noong nakaraang taon ay $33.
neutral,"Oo, sa tingin ko mas matipid din, gaya ng sa gasolina at iba pa. Ibig kong sabihin, makakapunta ako nang malayo sa isang tanke ng gasolina.",Sila rin ang pinakamagandang tingnan na mga kotse sa paligid.
neutral,"Kung naghahanap ka ng alternatibong gabi sa Harvard Square, pumunta sa Inman Square na may himig Hispanic, na matatagpuan sa Cambridge Street.",Mapanganib ang Harvard Square sa gabi.
neutral,Ang diwa ng liberalismo na laganap sa Europa ay mabagal na nakarating sa Espanya.,Dumating ang liberalismo sa Espanya noong 1920.
neutral,"Ulat ng intelihensiya, interogasyon kay KSM, Hulyo 30, 2003.",Ipinakita ng interogasyon na ang paboritong lasa ng sorbetes ni KSM ay tsokolate.
neutral,Kahit na hindi ko makita kung paano niya inaasahan na nagawa ko na ito.,Hindi ko maintindihan kung bakit inaasahan niyang matatapos ko ang guhit ngayon.
neutral,"Ang mga pagsubok sa bisa ang unang hakbang, ngunit ang pagpapatupad ng napatunayang mga sistema ng pagsasala at maikling interbensyon para sa alkohol sa mga ospital at pamayanan ang naging pinakamahirap na bahagi ng proseso.","Una, kailangan mong subukan ang bisa ng isang interbensyon."
neutral,"Upang matulungan ka sa iyong kontribusyon, huwag mag-atubiling tawagan si Kathy Dannels, Direktor ng Pagpapaunlad, sa 924-6770 ext.",Agad na sumasagot si Kathy Dannels sa mga tawag.
neutral,Ngunit may lilim pa rin at isang hardin ng mga bulaklak sa gitna ng plasa kung saan nagkikita ang mga lokal at mga bisita para sa tanghalian o hapunan.,Nag-uunahan ang mga tao na kumain sa hardin.
neutral,"Hindi nabigyan ng impormasyon ang mga operator tungkol sa kawalan ng kakayahang magsagawa ng pagliligtas sa bubong, kaya hindi nila maipapaalam sa mga tumatawag na sa esensya ay hindi na ito isinasagawa.",Hindi naipilipad ang mga helikoptero malapit sa mga bubong dahil sa mga sunog sa lugar.
neutral,"Kung gayon, maaaring mahikayat silang bilhin ang edisyong ito dahil naglalaman ito ng 55 pahina ng mga salita, kahulugan, at mga sipi na hindi pa nailalathala noon.",Ang edisyong ito ay nakabenta ng higit sa limang daang libong kopya sa unang taon nito.
neutral,Iniulat ng The Scotsman na hindi pa inilalabas ng Unibersidad ng Edinburgh ang mga resulta ng pagsusulit ng 90 mag-aaral ng computer science habang tinutukoy ng administrasyon kung gumamit sila ng Internet para mandaya.,Maaaring may ilang estudyante na nandaya sa kanilang mga final na pagsusulit.
neutral,"Ng Inglatera, itinama niya siya nang may pagwawasto.",Palagi siyang inatasan na itama siya.
neutral,"Tulad ng napag-usapan kanina, ang dahilan kung bakit nagpasya si Jane na hindi niya maaaring ibahagi ang impormasyon ay dahil ang paunang impormasyon tungkol kay Mihdhar ay na-analisa na ng NSA.",Hindi kailanman gustong ibahagi ni Jane ang impormasyon.
neutral,May dahilan ba kung bakit hindi niya sinabi sa iyo?,Bakit hindi niya sinabi sa iyo ang tungkol sa sanggol?
neutral,"-Mag-isip, magdisenyo, at magtahi nang kamay ng maraming magagandang kasuotan, gaya ng mga damit-panahon ni Mary Todd sa Abe Lincoln in Illinois at ng mga ball gown sa A Christmas Carol.",Ang mga kasuotan ay ginawa lamang ng mga kamay ng tao.
neutral,Ipinakita ng mga lingwista na ang unang lingua franca (na tinatawag ng maraming lingwista na Mediterranean Lingua Franca) ay talagang sinasalita bago nagsimula ang unang Krusada noong A.D. 1096.,Ang unang Lingua France ay sinasalita sa Mediterranean.
neutral,Naniniwala ako sa kabaligtaran.,"Sa tingin ko mali ka, na ang sagot ay oo at hindi hindi."
neutral,Ang nakikita natin ay mga detalye.,Ang mga detalye ay na-print sa legal na papel para makita ng lahat.
neutral,"Ang ganap na propesyonal at lubusang ginawang produksyong teatro ay nagdulot ng pagbabago sa mga batang tulad nina Becky, Stephanie, Marcus, Emily, at sa kanilang mga kaklase mula sa buong estado ng Indiana.",Ang aming mga produksyon sa teatro ay nakatulong sa mga mag-aaral sa elementarya na matutong magpinta.
neutral,"Pynchon: Tulad ng nararapat sa isang lalaking nagbabantay, sa halip na ipagyabang, ang kanyang pagkapribado, pinananatiling pribado ni Pynchon ang kanyang buhay-pribado.",May tsismis na may anak na lalaki at babae si Pynchon.
contradiction,Ang problema ng pagsasamantala sa tila kusang-loob na ugnayang sekswal ay matagal nang umiiral sa atin.,Walang pagsasamantala sa kusang-loob na pakikipagtalik.
contradiction,"Sana'y sa wakas ay mapagtanto ng inyong Kagalang-galang ang kamangmangan ng pagbibigay ng komisyon ng Hari sa ganitong uri ng tao, laban sa lahat ng aking mga payo.",Kakatapos lang sundin ng panginoon ang payo ko at isinagawa niya ang kanyang mga kilos nang naaayon dito.
contradiction,"Natutunaw ang cinismo sa iyong unang tikim sa banayad na ambiyansa ng bayan, na nilikha ng matalinong pagsasanib ng mga kaginhawahan ng sopistikadong modernidad at ng mas simpleng ligaya ng kalikasan sa likod nito.",Ang bayan ay isang galit at kakila-kilabot na lugar.
contradiction,"Ilang bayaning Tejano, gaya nina Gregorio Cortez, Juan Cortina, at Catarino Garza, ay naging alaala dahil sa kanilang mga sagupaan sa Texas Rangers.",Si Catarino Garza ay isang kilalang Texas Ranger.
contradiction,Ito ang legal na saligan ng nostalhikong pagyakap ni Justice Anthony Kennedy sa mga karapatan ng mga estado.,Pabor si Kennedy sa mga pederal na karapatan.
contradiction,"Sa katunayan, ang salitang quark ay nasa OED bilang pandiwa na nangangahulugang 'umkwak,' na may mga sanggunian noong ika-19 na siglo tungkol sa mga palaka, uwak, at tagak.",Ang salitang quark ay isang makabagong salita na unang imbento ng mga siyentipiko noong dekada 1960.
contradiction,"Sa panahon ng preschool at elementarya, ang pag-iisip ay higit na nakatuon sa kasalukuyan.",Ang mga batang nasa preschool at elementarya ay madalas na nangangarap tungkol sa hinaharap.
contradiction,Ang Culebra ay kilala bilang Espanyol na Isla ng Birhen hanggang sa pagsakop ng Amerika; matatagpuan ito sa kalagitnaan ng Puerto Rico at St. Thomas sa US Virgin Islands.,Ang Culebra ay hindi malapit sa Puerto Rico at sa St. Thomas sa US Virgin Islands.
contradiction,"Ang Cete de Charlevoix ay bahagi ng mga bundok ng Laurentian, na umaabot hanggang sa Ilog Saguenay kung saan lumihis ang mga coureurs de bois upang maghanap ng mga balahibo.",Ang Ilog Saguenay ay bahagi ng pamilihan ng karbon.
contradiction,"Kung muling ayusin ang intelihensiya ng depensa upang palakasin ang mga responsibilidad ng direktor ng DIA, maaaring siya ang angkop na opisyal.",Ang Direktor ng DIA ay hindi sangkot sa intelihensiyang pangdepensa.
contradiction,"Kaya umupo siyang muli, at, alam mo, nag-uusap pa rin sila, at nakikita pa rin nila ang taong ito, at naglalakad nang napakabilis ang taong ito.",Nanahimik siya at tumingin pababa sa kanyang mesa.
contradiction,Hindi dapat gamitin ang alternative bilang kapalit ng alternate.,"Pinapayagan na palitan ang ""alternate"" para sa ""alternative""."
contradiction,Maaari ring makatanggap ang mga ehekutibo ng rating na pansamantala o pumalya para sa bawat elemento.,Hindi maaaring mabigo ang mga ehekutibo.
contradiction,"Sinusuri at inaanalisa ni John Burke (Alabama) ang iba pang mga kontemporaryong salaysay at natuklasan niya na ang salaysay ni Boswell ay hindi lamang ang pinakatumpak kundi ginagamit pa niya ito upang ipakita ang pagkatao ni Johnson, samantalang ang iba ay nagpapalaganap lamang ng tsismis sa panitikan.",Pinapabayaan ni John Burke ang mga ulat.
contradiction,"Siya na ngayon ang nasa pagtatanggol, ang tinig niya'y nanginginig sa pagkainis.",Ang babae ay sobrang tuwa kaya't hindi siya makapagsalita!
contradiction,"Halimbawa, noong 1983 ay nanghiram ang pondo ng Old-Age and Survivors Insurance mula sa mga pondo ng Disability Insurance at Hospital Insurance.",Hindi kailanman kinailangang mangutang ng pondo ng tiwala.
contradiction,"Para sa akin, lubos akong sang-ayon sa opinyon ni Wolverstone.",Hindi ko pa kailanman narinig ang tungkol sa isang taong tinatawag na Wolverstone.
contradiction,"Alam mo, may isa pa akong naisip na benepisyo na ngayon ko lang napagtanto na hindi ko pa gaanong nagamit—hindi pa naman—dahil minsan nagbabayad ang malalaking kumpanya para sa edukasyon.","Walang kumpanya ang tumutulong sa gastusin sa edukasyon, gaano man ito kalaki o kaliit."
contradiction,"Ang kilusang Islamista, na isinilang mga bandang 1940, ay produkto ng makabagong mundo, na naiimpluwensyahan ng mga konseptong Marxista-Leninista tungkol sa rebolusyonaryong organisasyon.",Ang kilusang Islamista ay sinimulan noong ika-anim na siglo.
contradiction,Mahirap Maghanap ng Patunay na Pinamunuan ni Bin Laden ang mga Atake.,May matibay na ebidensya na si Bin Laden ang nagdirekta sa mga pag-atake.
contradiction,"sige, at masarap ba ang lasagna nila?",Ang lasagna ang pinakamasamang bagay na natikman ko!
contradiction,"At, uh, kung biglang umigting at tuluy-tuloy lang ang pag-igting, gagawing 'whish,' at parang huhugutin nito ang ulo mo.",Magsusulput lang ito nang isang beses.
contradiction,Nag-apela siya kay Lord Julian.,Hindi makita si Lord Julian kahit saan.
contradiction,"Tulad ng alam nating lahat, napakaraming publikasyon na tumatalakay sa mga lubos na espesyalisadong larangan.",Dalawa lamang ang mga journal.
contradiction,Wala namang tao roon para tumulong sa akin.,Maraming tao roon na makakatulong sa akin.
contradiction,"At kapag naipasok mo na lahat, maaari ka nang magpatuloy mula doon.",Dapat kang tumigil ngayon din.
contradiction,"Bukod dito, nagsasagawa ang mga kawani ng programa ng iba't ibang workshop para sa mga bagong tagapagbigay at naglalaan ng mga materyales pang-edukasyon para sa kanila.",Pinutol ng mga tauhan ng programa ang lahat ng mga workshop noong nakaraang taon.
contradiction,"Kung ang paunang paglawak ay eksponensyal, at pagkatapos ay bumagal sa linear, gaya ng sa hipotesis ng inflationary o marahil sa purong quantum na pamamaraang ito, maaaring mawala ang problema ng particle-horizon.","Ang problema ng particle horizon ay palaging naroroon, anuman ang modelo ng paunang paglawak."
contradiction,"Sa San Antonio, ang pagtatanghal ng Los Pastores sa Simbahan ni Mahal na Birhen ng Guadalupe ay nagpapatuloy mula pa noong 1913.",Hindi kailanman nagaganap ang pagtatanghal sa San Antonio.
contradiction,Yun ang pagkakamali ko.,Ginawa ko ito nang walang anumang pagkakamali.
contradiction,"Medyo malayo mula sa Boot, makikita mo ang terminal ng Ravenglass and Eskdale Railway, o La'al Ratty, gaya ng malugod itong tinatawag.",Ang Boot ay napakalayo sa lahat ng mga riles.
contradiction,"Maaari ring ilarawan ng Relajo ang isang mapagbirong ugnayan, isang palitan ng birong patawa, na sa pamamagitan ng pagtawa ay nagpapagaan ng tensiyon at nagwawasak sa sanhi ng tensiyon sa sandaling iyon.",Hindi talaga nakakatawa si Relajo.
contradiction,"Ang ganap na propesyonal at lubusang naprodyus na teatro ay nagdulot ng pagbabago sa mga batang tulad nina Becky, Stephanie, Marcus, Emily, at sa kanilang mga kaklase mula sa buong estado ng Indiana.","Nais sana naming makapaglikha ng ganap na propesyonal na mga produksyon sa teatro, ngunit hindi pa kami nagkaroon ng pondo rito sa Indiana."
contradiction,Ang mga estadistika sa mga rutang pang-kanayunan na inilahad sa papel na ito ay batay sa datos ng National Mail Count noong 1989.,Ang mga estadistika sa papel na ito ay batay sa isang ulat noong 2001.
contradiction,Ang ikalawang antas ng kabulaanan ay ipinagtatanggol ni Brock si Hillary upang itaguyod ang sarili niyang eksklusibong iskandalo.,Hindi ipinagtatanggol ni Brock si Hillary.
contradiction,"Medyo kakaiba iyon dahil ginugol ko, uh, mga 16 na taon ng aking karera sa Special Activities.",Hindi pa ako nagkaroon ng trabaho.
contradiction,"Isang kilalang tagapagtaguyod ng Meksikong Kastilang folklore sa Timog-Kanluran at California si Charles F. Lummis (1859–1928), isang sariling-aral na potograpo, etnolohista, musikologo, mamamahayag, at tagapagtatag ng Southwest Museum sa Los Angeles.",Hindi makabasa si Charles F. Lewis.
contradiction,"Pagkatapos noon, nagsagawa ito ng mga hukuman, at dito ipinamigay ang katarungan.",Para lang ito sa simbahan.
contradiction,Kaya nanatili siya sa Augusta pagkatapos noon?,Alam kong agad siyang umalis sa Augusta.
contradiction,"Hindi ka pupunta? sabi niya, sa pagitan ng tanong at pahayag.","Pakiusap, huwag kang umalis! Nagmakaawa siya."
contradiction,"Gayunpaman, tapos na akong umuwi ngayon ng alas-6:30 at ganoon ang naging araw ko.",Nagpasya akong umuwi sa tanghalian at magpahinga sa buong natitirang araw.
contradiction,"Malinaw na ang FDNY ang pangunahing ahensiyang tumugon, at ang iba pang tumugon na lokal, pederal, bistate, at pang-estadong ahensya ay gumampan ng sumusuportang papel.",Hindi lang ang FDNY ang ahensiyang namamahala; may iba pang ahensiya na kasing-kontrol din.
contradiction,"Ang lalaking ito ay ipinanganak sa Alemanya, mayaman, edukado, at marunong maglakbay.","Ang lalaking ito ay ipinanganak sa Arkansas at siya ay mahirap, walang edukasyon, at hindi kailanman naglakbay."
contradiction,Alam ba natin kung ano ang sasabihin natin?,Alam kong wala tayong ideya kung ano ang sasabihin natin.
contradiction,"Ang La Vida de un Bato Loco, na isinulat ng isang tagapagbigay-impormasyon kay Linda Katz at inilathala sa kanyang gawa, ay nagbibigay ng magandang halimbawa ng mga pampanitikang paggamit ng cale.",Nagsusulat lamang si Katz tungkol sa ginawa ng ibang tao.
contradiction,"Sa turn, dapat ang object ay nasa makina sa loob ng ilang minuto, pagkatapos ay ang makina sa loob ng ilang minuto, at iba pa.",Hindi maaaring nasa makina ang bagay.
contradiction,Dapat magsimula sa Estados Unidos ang ligtas na pagkakakilanlan.,Hindi kailanman dapat gamitin ang Ligtas na Pagkakakilanlan sa Estados Unidos.
contradiction,"Maniniwala ka sa akin, lubos akong nagpapasalamat.",Talagang hindi ako mapagpasalamat sa iyo.
contradiction,"Malayo na ang narating natin, at marami pa ang kailangang gawin.","Sa wakas, tapos na ang lahat at wala na kaming gagawin pa."
contradiction,Salamat sa pagsuporta sa Indianapolis Museum of Art noong 1999.,"Salamat, pero hindi na kailangan para sa pagkaligtaan ng iyong mga donasyon noong 1999."
contradiction,Isang sukatan ng pagdikit sa karaniwan: Nagdadala ba ng pitaka ang pangulo?,Walang nagmamalasakit kung may wallet ang pangulo.
contradiction,Tungkulin ng isang CIO na pamahalaan ang mga inaasahan at tumulong na matiyak na ang lahat ng miyembro ng organisasyon ng CIO ay may malinaw na pag-unawa sa kanilang mga responsibilidad.,Wala sa ideya ang CIO kung ano ang mga responsibilidad ng mga miyembro at hindi siya responsable sa pagpapaalam nito sa kanila.
contradiction,"Nang pumasok siya sa kanyang animnapung taon, noong 1895, nagbigay si Skeat ng impresyon na nagsisimula na niyang hindi gaanong seryosohin ang mga bagay na ito.","Nang pumasok si Skeat sa kanyang animnapung taon, hindi siya nagpakita ng anumang palatandaan na siya ay nag-iisip tungkol sa anumang bagay."
contradiction,Madalas sinasabi ng mga eksperto na ang kasaysayan ay isinusulat ng mga nagwagi.,Sinasabi ng mga pundit na ang mga talo ang sumusulat ng kasaysayan.
contradiction,"29 Kaya, ang 21 buwan ay dapat maging makatwiran, at sa ilang kaso ay konserbatibong pagtataya ng kabuuang oras na kinakailangan para i-retrofit ang isang utility boiler.",Maaaring maisagawa ang pag-aayos ng boiler sa loob lamang ng ilang araw.
contradiction,"Sa pagitan ng 1936 at 1940, ang Gresya ay nasa ilalim ng diktadurang militar ni Ioannis Metaxas, na naaalala dahil sa malakas na echi (hindi) na ibinigay niya bilang tugon sa ultimatum ni Mussolini na sumuko noong 1940.",Hindi pa kailanman pinamunuan ng isang diktador militar ang Gresya.
contradiction,"Wala kaming natuklasang ebidensya na naroroon si KSM sa guesthouse sa Islamabad kung saan inaresto si Yousef, gaya ng ipinahiwatig sa pahayagan.",Hindi kailanman naaresto si Yousef.
contradiction,"Oo, siguro may cordless ka.",Ang sa iyo ay tiyak na bersyon na may kable lamang.
contradiction,"Ang Singel ay minsang panlabas na hadlang ng medyebal na lungsod, ngunit habang lumalawak ang lungsod, pinalawak ng Herengracht (Kanal ng mga Ginoo), Keizersgracht (Kanal ng Emperador), at Prinsengracht (Kanal ng mga Prinsipe) ang lambat.",Ang Singel ay nasa sentro ng lungsod.
contradiction,"Rekording ng NYPD, channel ng radyo ng Special Operations Division, Setyembre 11, 2001.",Hindi sinubukan ng NYPD na gumamit ng komunikasyong radyo hanggang 2004.
contradiction,"Maaari mo ring samantalahin ang aming espesyal na alok na 2-taong pagiging miyembro sa halagang $30, na may halos 60% na diskwento sa aming karaniwang presyo para sa 2 taon.",Nagkakahalaga ng $800 ang pagiging miyembro para sa susunod na dalawang taon.
contradiction,Tagapangulo ng Lupon ng mga Katiwala,Ang Lupon ng mga Tagapangasiwa ay walang Tagapangulo.
contradiction,Nagkakamping ba kayo sa gubat?,Pumunta ka ba sa indoor na kampo?
contradiction,"Nang i-retrofit ng Babcock & Wilcox ang 675 MWe na AES Somerset boiler, nagsimula ang outage noong Mayo 14, at naibalik ang boiler sa serbisyo noong Hunyo 26 – mga anim na linggong outage.",Walang pagkawala ng serbisyo ng boiler.
contradiction,22 Sa kabila ng mahigpit na pamantayang itinakda ng batas—na ang antas ng sahod ay ina-update paminsan-minsan—naging karaniwan na noong dekada 1990 ang malawakang paglabag sa mga pabrika ng damit.,Ang lahat ng mga industriya at tindahan ng pananamit ay tuluyang isinara noong 1980.
contradiction,Kaya't patuloy silang lumilikha ng isang hindi nakapirming mundo kung saan tanging ang medyo kamakailang nakaraan ang may balidong datos.,Lahat ng datos mula sa bawat saklaw ng oras ay balido para sa anumang mundo.
contradiction,"Maraming teknikal na problema, lalo na sa mga Hellfire missile.",Gumana nang perpekto ang mga Hellfire missile.
contradiction,Hindi ito sasabog kung walang trigger.,Walang gatilyo na hihila.
